model,target,horizon_hours,best_MAE,n_trials,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,min_child_samples,num_leaves
XGBoost,blh,1,50.91411209106445,5,459,6,0.0524318089190285,0.0288717705890429,0.7168578594140873,0.7465447373174767,9.275538076980542e-05,0.1165691561324743,6.267062696005991e-07,,
XGBoost,blh,3,102.12625885009766,8,559,12,0.0127079429992136,0.0443552781959324,0.6180909155642152,0.7301321323053057,2.4048726561760165e-05,2.7678419414850017e-06,0.2874998234740785,,
XGBoost,blh,6,145.28482055664062,12,798,10,0.0205415850894098,12.346200523299055,0.8142497056141959,0.792758531865332,7.66939885163215e-05,0.0003079561401441,1.2480430499424132e-08,,
XGBoost,blh,9,175.44082641601562,15,769,10,0.0215766006796504,0.0105549091620206,0.7874820875551369,0.7413584553307841,0.0015611565786249,0.0001857723497893,0.0123338516663842,,
XGBoost,blh,12,196.4349670410156,20,781,9,0.0220958762716002,19.8765866660229,0.8255837328692512,0.8490155719630619,0.0009212615563411,0.0014035580755399,1.0678502220421992e-08,,
XGBoost,cape,1,7.154493808746338,5,509,9,0.0113404405018073,1.0128002032729382,0.6682096494749166,0.6260206371941118,1.7960847528705854,4.905556676028774,0.1886149587855393,,
XGBoost,cape,3,12.470074653625488,8,414,6,0.043477055106943,0.0291873787490917,0.9208787923016158,0.6298202574719083,3.845031120156871,0.0891667471563653,6.143857495033091e-07,,
XGBoost,cape,6,14.367437362670898,12,598,6,0.0408928570004808,0.6378330678120924,0.6739417822102108,0.9878338511058234,0.0553168166809611,2.854239907497756,1.1309571585271485,,
XGBoost,cape,9,15.073841094970703,15,598,6,0.0408928570004808,0.6378330678120924,0.6739417822102108,0.9878338511058234,0.0553168166809611,2.854239907497756,1.1309571585271485,,
XGBoost,cape,12,15.590627670288086,20,319,5,0.044857478870813,0.0108711538836113,0.8599108658266874,0.9275746187347766,9.018887229972216e-07,0.057815859997212,3.999156886734741e-07,,
XGBoost,msl_hpa,1,0.2584038376808166,5,459,6,0.0524318089190285,0.0288717705890429,0.7168578594140873,0.7465447373174767,9.275538076980542e-05,0.1165691561324743,6.267062696005991e-07,,
XGBoost,msl_hpa,3,0.5707966089248657,8,598,6,0.0408928570004808,0.6378330678120924,0.6739417822102108,0.9878338511058234,0.0553168166809611,2.854239907497756,1.1309571585271485,,
XGBoost,msl_hpa,6,1.0792012214660645,12,275,4,0.1295264743490377,10.485019605616165,0.7737425087025644,0.7890856026631795,1.2649043427613951e-08,0.0014441715954419,1.2670709733926249e-08,,
XGBoost,msl_hpa,9,1.5164408683776855,15,666,4,0.0870818214679725,4.370874458649818,0.8180722950138796,0.8332908615865308,5.188048048205387e-07,0.0005842925065987,0.0063396191326126,,
XGBoost,msl_hpa,12,1.953439474105835,20,383,4,0.0637852822524905,0.2837635341868618,0.6488152939379115,0.798070764044508,1.9913367728263118e-08,1.527156759251193,2.133142332373004e-06,,
XGBoost,mwd,1,10.62441349029541,5,625,4,0.1382618931622385,5.596520861285641,0.6849356442713105,0.6727299868828402,3.939402261362697e-07,5.472429642032198e-06,0.0005282115394532,,
XGBoost,mwd,3,22.79889869689941,8,598,6,0.0408928570004808,0.6378330678120924,0.6739417822102108,0.9878338511058234,0.0553168166809611,2.854239907497756,1.1309571585271485,,
XGBoost,mwd,6,33.510887145996094,12,798,9,0.0209894262690538,15.001164597087676,0.8139307725766043,0.8460854452250754,2.577107726784678,0.0014860335400091,0.0174753246945105,,
XGBoost,mwd,9,42.3919563293457,15,798,9,0.0231245856025752,19.903313628359548,0.8186479779794285,0.908503108705077,0.024177057656783,0.0009557353350664,3.076107069370528e-05,,
XGBoost,mwd,12,49.31507110595703,20,798,9,0.0209894262690538,15.001164597087676,0.8139307725766043,0.8460854452250754,2.577107726784678,0.0014860335400091,0.0174753246945105,,
XGBoost,mwp,1,0.0430955737829208,5,459,6,0.0524318089190285,0.0288717705890429,0.7168578594140873,0.7465447373174767,9.275538076980542e-05,0.1165691561324743,6.267062696005991e-07,,
XGBoost,mwp,3,0.0890253260731697,8,559,12,0.0127079429992136,0.0443552781959324,0.6180909155642152,0.7301321323053057,2.4048726561760165e-05,2.7678419414850017e-06,0.2874998234740785,,
XGBoost,mwp,6,0.1468914896249771,12,789,12,0.022548807631373,0.0127659887100442,0.8169897785709336,0.7271924677407838,3.0212734916458603e-05,1.7952121319105871e-06,9.672321737519304,,
XGBoost,mwp,9,0.1999273002147674,15,798,10,0.0205415850894098,12.346200523299055,0.8142497056141959,0.792758531865332,7.66939885163215e-05,0.0003079561401441,1.2480430499424132e-08,,
XGBoost,mwp,12,0.2472713440656662,20,798,9,0.0228128379586129,19.903313628359548,0.8089266477456655,0.8964036629129385,1.279836366999063e-06,0.0006032494596135,1.4740988345366877e-08,,
XGBoost,sst_c,1,0.0862748995423317,5,625,4,0.1382618931622385,5.596520861285641,0.6849356442713105,0.6727299868828402,3.939402261362697e-07,5.472429642032198e-06,0.0005282115394532,,
XGBoost,sst_c,3,0.0766713917255401,8,598,6,0.0408928570004808,0.6378330678120924,0.6739417822102108,0.9878338511058234,0.0553168166809611,2.854239907497756,1.1309571585271485,,
XGBoost,sst_c,6,0.0849891975522041,12,598,6,0.0408928570004808,0.6378330678120924,0.6739417822102108,0.9878338511058234,0.0553168166809611,2.854239907497756,1.1309571585271485,,
XGBoost,sst_c,9,0.1100298091769218,15,781,9,0.0224255799305852,19.8765866660229,0.8095280321215779,0.9831228282608744,0.0125716530081766,0.000521086348127,9.048802222204392,,
XGBoost,sst_c,12,0.1437492668628692,20,720,4,0.1295264743490377,11.522731168197238,0.7737425087025644,0.9940506427908176,1.0253681544608432e-06,6.982496886163948e-05,0.0021142323970375,,
XGBoost,swh,1,0.0153430448845028,5,425,12,0.0725924871956136,0.9466503798478176,0.6624074561769746,0.662397808134481,3.200866785899844e-08,0.6245760287469893,0.0025706035661175,,
XGBoost,swh,3,0.0402996242046356,8,425,12,0.0725924871956136,0.9466503798478176,0.6624074561769746,0.662397808134481,3.200866785899844e-08,0.6245760287469893,0.0025706035661175,,
XGBoost,swh,6,0.0710910335183143,12,798,10,0.0205415850894098,12.346200523299055,0.8142497056141959,0.792758531865332,7.66939885163215e-05,0.0003079561401441,1.2480430499424132e-08,,
XGBoost,swh,9,0.0951551049947738,15,798,9,0.0250845825697571,0.0101455428803821,0.814456732350397,0.7243120830615286,0.0010951956563343,0.000214995765041,9.783182143632304,,
XGBoost,swh,12,0.1130146756768226,20,747,10,0.0256335870882114,0.0113109808552849,0.8206834940865603,0.7212093439173003,0.0004944690608847,1.18322362908886e-06,8.681709356401575,,
XGBoost,t2m_c,1,0.2844588756561279,5,459,6,0.0524318089190285,0.0288717705890429,0.7168578594140873,0.7465447373174767,9.275538076980542e-05,0.1165691561324743,6.267062696005991e-07,,
XGBoost,t2m_c,3,0.6070106625556946,8,459,6,0.0524318089190285,0.0288717705890429,0.7168578594140873,0.7465447373174767,9.275538076980542e-05,0.1165691561324743,6.267062696005991e-07,,
XGBoost,t2m_c,6,0.9099017381668092,12,598,6,0.0408928570004808,0.6378330678120924,0.6739417822102108,0.9878338511058234,0.0553168166809611,2.854239907497756,1.1309571585271485,,
XGBoost,t2m_c,9,1.1480259895324707,15,459,6,0.0524318089190285,0.0288717705890429,0.7168578594140873,0.7465447373174767,9.275538076980542e-05,0.1165691561324743,6.267062696005991e-07,,
XGBoost,t2m_c,12,1.2638603448867798,20,414,6,0.043477055106943,0.0291873787490917,0.9208787923016158,0.6298202574719083,3.845031120156871,0.0891667471563653,6.143857495033091e-07,,
XGBoost,tcc,1,0.0871254429221153,5,459,6,0.0524318089190285,0.0288717705890429,0.7168578594140873,0.7465447373174767,9.275538076980542e-05,0.1165691561324743,6.267062696005991e-07,,
XGBoost,tcc,3,0.1790702193975448,8,383,4,0.0637852822524905,0.2837635341868618,0.6488152939379115,0.798070764044508,1.9913367728263118e-08,1.527156759251193,2.133142332373004e-06,,
XGBoost,tcc,6,0.2514307200908661,12,383,4,0.0637852822524905,0.2837635341868618,0.6488152939379115,0.798070764044508,1.9913367728263118e-08,1.527156759251193,2.133142332373004e-06,,
XGBoost,tcc,9,0.2851506769657135,15,383,4,0.0637852822524905,0.2837635341868618,0.6488152939379115,0.798070764044508,1.9913367728263118e-08,1.527156759251193,2.133142332373004e-06,,
XGBoost,tcc,12,0.3098799884319305,20,798,4,0.1014088170957505,0.1885493389783543,0.6010360207662125,0.8242498694755037,5.37871420789246e-07,0.0015121321225642,6.170708682186731e-06,,
XGBoost,wind_speed_ms,1,0.2342056632041931,5,425,12,0.0725924871956136,0.9466503798478176,0.6624074561769746,0.662397808134481,3.200866785899844e-08,0.6245760287469893,0.0025706035661175,,
XGBoost,wind_speed_ms,3,0.39397993683815,8,425,12,0.0725924871956136,0.9466503798478176,0.6624074561769746,0.662397808134481,3.200866785899844e-08,0.6245760287469893,0.0025706035661175,,
XGBoost,wind_speed_ms,6,0.4816718995571136,12,425,12,0.0725924871956136,0.9466503798478176,0.6624074561769746,0.662397808134481,3.200866785899844e-08,0.6245760287469893,0.0025706035661175,,
