model,target,horizon_hours,best_MAE,n_trials,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,min_child_weight
LightGBM,blh,1,60.41468715615418,5,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,blh,3,104.93735999479208,8,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,blh,6,132.8685065177929,12,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,blh,9,131.7227393672492,15,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,blh,12,138.86716835354216,20,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,cape,1,31.54449029841349,5,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,cape,3,58.77582098890828,8,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,cape,6,73.04377910159765,12,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,cape,9,71.66539121008175,15,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,cape,12,74.23425438776157,20,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,msl_hpa,1,0.2393632244336093,5,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,msl_hpa,3,0.4551086776343939,8,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,msl_hpa,6,0.7416857226587702,12,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,msl_hpa,9,0.8347196060540992,15,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,msl_hpa,12,1.0185474119272795,20,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
